id,group_id,message,voice,per,message_group,omit_tag
1,100000,The stage is set for a memorable race.,%w_0.3|1000101,100,0,0
2,0,"The track is dry, so they may need to watch\ntheir feet.",1000201,100,0,0
3,100002,But there are some Umamusume who prefer the\ntrack like this.,1000301,100,0,0
4,100003,"When the ground is as tightly packed as it is\ntoday, it's easier to build up speed.",1000401,100,0,0
5,100004,I hope the weather holds out for us.,%w_0.3|1000501,100,0,0
6,100005,Japanese tracks do have good drainage.,1000601,100,0,0
7,100006,"If the rain gets bad, it could prove to be a\nrather difficult race.",%w_0.3|1000701,100,0,0
8,100007,"It may be easier to build speed, but I'm worried\nabout the strain on their legs.",%w_0.3|1000801,100,0,0
9,100008,"When the track is this soft, it all depends on\nwhether or not you're good at handling it.",%w_0.3|1000901,100,0,0
10,100009,The track is going to be fairly treacherous\ntoday. Positioning is going to play an important\nrole.,1001001,100,0,0
11,100010,"When the track is this rough, it's impossible to\nguess how things will turn out.",%w_0.1|1001101,100,0,0
12,100011,"These are less than ideal track conditions, to\nbe sure.",1001201,100,0,0
13,100012,I'm concerned about how much the snow will\naffect today's race.,1001301,100,0,0
14,100013,They can't run without taking the snow into\naccount.,1001401,100,0,0
15,100014,"A snowy winter wonderland might sound nice,\nbut it's no good for running on.",1001501,100,0,0
16,100015,We'll find out today who likes the snow and\nwho doesn't.,1001601,100,0,0
18,100016,What a presence! Look at that spirit!,1001801,100,0,0
19,100016,Let's hope for a dead heat. That's when the\nsparks fly.,1001901,100,0,0
20,100016,I just hope the Umamusume I'm rooting for\ngives it her all today!,1002001|1002002,100,0,0
22,100021,Those two certainly know how to make a great\nstart.,1002201,100,0,0
23,100022,She's the master of making a good start.,1002301,100,0,0
24,100022,That was a perfect start.,1002401,100,0,0
25,100024,They might have been waiting to see how\neveryone else would move.,1002501,100,0,0
26,100025,They all seem to be in the zone. This should be\na good race.,1002601,100,0,0
28,100027,Let's hope that those who made a late start can\ncatch up.,1002801,100,0,0
43,100043,%h_player is running smoothly.,%h_player|1004001,100,0,0
44,100043,%h_player is skipping right along.,%h_player|1004101,100,0,0
45,100044,They should make good rivals.,1004201,100,0,0
59,100059,We're only just getting started. I hope she\nstays motivated!,1004601|1004602,100,0,0
60,100059,"She's in a difficult position, but we can still\nhope for a comeback.",1004603|1004604,100,0,0
61,100059,We're only just getting started. We can still\nhope for a comeback.,1004601|1004604,100,0,0
62,100059,"She's in a difficult position, but I hope she\nstays motivated!",1004603|1004602,100,0,0
67,100066,They certainly are keeping each other in check.\nIt'll all depend on when they make their move.,1004801,100,0,0
68,100067,"Things are getting tense now, but they might\nwant to focus on their pace.",1004901,100,0,0
70,100069,What a bold strategy! This is completely\nunexpected!,1005003|1005004,100,0,0
72,100069,What a bold strategy! This should be an\neventful race!,1005003|1005002,100,0,0
73,100072,This really suits\n%h_rank1's running style.,%h_rank1|1005101,100,0,0
75,100074,"From that position, she can easily see what's\ngoing on around her. She's proceeding\nsmoothly.",1005301,100,0,0
76,100075,This must be her strategy. Her final burst's\ngoing to be a sight to behold.,1005401,100,0,0
78,100077,"Apparently, praying at the nearby shrine for\ngood luck with romance is all the rage these\ndays.",1005601,100,0,0
79,100078,It's almost like she's checking the condition of\nthe track as she runs. She's not putting her all\ninto it yet.,1005701,100,0,0
84,100083,She seems to be a little rushed. I hope she can\nget a chance to breathe.,1005901|1005902,100,0,0
